col,experiment,cond,time,treatment,rep,drop
mr571-MV411-DMSO_coculture_12h-r1_tcount,MV411,MV411-DMSO_coculture_12h,12h,DMSO,r1,False
mr572-MV411-DMSO_coculture_12h-r2_tcount,MV411,MV411-DMSO_coculture_12h,12h,DMSO,r2,False
mr573-MV411-DMSO_coculture_12h-r3_tcount,MV411,MV411-DMSO_coculture_12h,12h,DMSO,r3,True
mr574-MV411-DMSO_coculture_12h-r4_tcount,MV411,MV411-DMSO_coculture_12h,12h,DMSO,r4,False
mr575-MV411-DMSO_coculture_12h-r5_tcount,MV411,MV411-DMSO_coculture_12h,12h,DMSO,r5,False
mr576-MV411-VHL_coculture_12h-r1_tcount,MV411,MV411-VHL_coculture_12h,12h,VHL,r1,False
mr577-MV411-VHL_coculture_12h-r2_tcount,MV411,MV411-VHL_coculture_12h,12h,VHL,r2,False
mr578-MV411-VHL_coculture_12h-r3_tcount,MV411,MV411-VHL_coculture_12h,12h,VHL,r3,False
mr579-MV411-VHL_coculture_12h-r4_tcount,MV411,MV411-VHL_coculture_12h,12h,VHL,r4,False
mr580-MV411-VHL_coculture_12h-r5_tcount,MV411,MV411-VHL_coculture_12h,12h,VHL,r5,False
mr581-MV411-MYB-dTAG-DMSO_coculture_12h-r1_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_coculture_12h,12h,DMSO,r1,False
mr582-MV411-MYB-dTAG-DMSO_coculture_12h-r2_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_coculture_12h,12h,DMSO,r2,False
mr583-MV411-MYB-dTAG-DMSO_coculture_12h-r3_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_coculture_12h,12h,DMSO,r3,False
mr584-MV411-MYB-dTAG-DMSO_coculture_12h-r4_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-DMSO_coculture_12h,12h,DMSO,r4,False
mr585-MV411-MYB-dTAG-VHL_coculture_12h-r1_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_coculture_12h,12h,VHL,r1,False
mr586-MV411-MYB-dTAG-VHL_coculture_12h-r2_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_coculture_12h,12h,VHL,r2,False
mr587-MV411-MYB-dTAG-VHL_coculture_12h-r3_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_coculture_12h,12h,VHL,r3,False
mr588-MV411-MYB-dTAG-VHL_coculture_12h-r4_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_coculture_12h,12h,VHL,r4,False
mr589-MV411-MYB-dTAG-VHL_coculture_12h-r5_tcount,MV411-MYB-dTAG,MV411-MYB-dTAG-VHL_coculture_12h,12h,VHL,r5,False
